chrom	start	end	name	simple_name	translated_category	Genoa_score	Genoa_score_1400bp
chr16	80121779	80121919	ZOOHAR.254;HAR35	ZOOHAR.254	positive	0.228399462438774	0.335956480610524
chr14	36111936	36112047	ZOOHAR.255	ZOOHAR.255	positive	0.263866679335678	0.297768267115714
chr2	83918561	83918681	ZOOHAR.256	ZOOHAR.256	positive	0.263866679335678	0.351444668710714
chr2	173052632	173052891	ZOOHAR.257	ZOOHAR.257	positive	0.277025598841736	0.288764864280861
chr16	73505074	73505197	ZOOHAR.258;2XHAR.524;HAR32	ZOOHAR.258	GBGC(hc)	0.251311858608839	0.405503919861573
chr1	57162779	57162857	ZOOHAR.259	ZOOHAR.259	positive	0.404102020874486	0.813704461304852
chr4	146981122	146981298	ZOOHAR.260	ZOOHAR.260	positive	0.391796368686929	0.503186214380759
chr20	43372339	43372456	ZOOHAR.261	ZOOHAR.261	positive	0.263866679335678	0.231184658639204
chr7	114975070	114975301	ZOOHAR.262	ZOOHAR.262	positive	0.269233085019644	0.355314911580971
chr2	19461892	19462026	ZOOHAR.263;HAR63	ZOOHAR.263	positive	0.354849389891038	0.514554699604806
chr9	78868955	78869107	ZOOHAR.264;HAR52	ZOOHAR.264	positive	0.263866679335678	0.230887170647781
chr1	69144410	69144517	ZOOHAR.265	ZOOHAR.265	positive	0.263866679335678	0.349477483287861
chr7	111123474	111123530	ZOOHAR.266	ZOOHAR.266	positive	0.263866679335678	0.27366486386733
chr8	136474697	136474749	ZOOHAR.267	ZOOHAR.267	positive	0.310958349778369	0.565722904897189
chr20	40833843	40834063	ZOOHAR.268;2XHAR.92	ZOOHAR.268	positive	0.301192582264828	0.319471942334114
chr13	72161840	72162093	ZOOHAR.269	ZOOHAR.269	positive	0.264124565198526	0.271671876795974
chr9	79611117	79611167	ZOOHAR.270	ZOOHAR.270	positive	0.339021668473708	0.703968385726978
chr5	53360324	53360466	ZOOHAR.271	ZOOHAR.271	positive	0.250357441620428	0.245237798655474
chr9	117858773	117858873	ZOOHAR.272	ZOOHAR.272	positive	0.359500858216144	0.391080661601752
chr13	78998334	78998791	ZOOHAR.273	ZOOHAR.273	positive	0.268868963488964	0.294955766637382
chr12	97421605	97421655	ZOOHAR.274	ZOOHAR.274	positive	0.350481835160144	0.345913540810035
chr13	59725382	59725555	ZOOHAR.275	ZOOHAR.275	positive	0.336299449575106	0.428839498654157
chr5	171667684	171667741	ZOOHAR.276;2XHAR.510	ZOOHAR.276	positive	0.446923966701136	0.466157570992289
chr1	44252362	44252762	ZOOHAR.277	ZOOHAR.277	positive	0.319772274845084	0.335651398295809
chr9	8784055	8784225	ZOOHAR.278	ZOOHAR.278	positive	0.228399462438774	0.463541767630086
chr18	39674952	39675073	ZOOHAR.279	ZOOHAR.279	positive	0.269566221554945	0.386645308409486
chr3	169573943	169574399	ZOOHAR.280	ZOOHAR.280	GBGC &
positive	0.452857686087594	0.569785325315317
chr2	21519553	21519636	ZOOHAR.281;2XHAR.319	ZOOHAR.281	GBGC(hc)	0.299380965195182	0.473248095021135
chr14	97114126	97114281	ZOOHAR.282	ZOOHAR.282	positive	0.263866679335678	0.401320389047735
chr5	179120896	179120989	ZOOHAR.283	ZOOHAR.283	positive	0.263866679335678	0.289599080088745
chr3	62504670	62504843	ZOOHAR.284	ZOOHAR.284	positive	0.339865728865145	0.593163287229824
chr20	52477715	52477862	ZOOHAR.285;2XHAR.337	ZOOHAR.285	positive	0.263866679335678	0.26388138524592
chr9	1743695	1743842	ZOOHAR.286	ZOOHAR.286	positive	0.395382449526539	0.72030022765053
chr20	1079661	1079749	ZOOHAR.287	ZOOHAR.287	None	0.228399462438774	0.226627977017469
chr16	78891502	78891660	ZOOHAR.288;HAR83	ZOOHAR.288	GBGC(hc)	0.351404737441528	0.359850346813211
chr2	143292808	143292937	ZOOHAR.289	ZOOHAR.289	GBGC &
positive	0.270737780213085	0.299632129443155
chr2	237934988	237935064	ZOOHAR.290	ZOOHAR.290	None	0.263691730474475	0.240984817576348
chr2	145503471	145503716	ZOOHAR.291	ZOOHAR.291	positive	0.496448209777464	0.51098401880398
chr11	115777716	115777808	ZOOHAR.292;2XHAR.87	ZOOHAR.292	positive	0.263866679335678	0.426377998375904
chr2	176078372	176078928	ZOOHAR.293	ZOOHAR.293	positive	0.429953128470789	0.660104434954909
chr2	221284996	221285048	ZOOHAR.294	ZOOHAR.294	positive	0.312192953837886	0.503813981087858
chr8	115702438	115702753	ZOOHAR.295	ZOOHAR.295	positive	0.228399462438774	0.282523509803369
chr3	30783358	30783411	ZOOHAR.296	ZOOHAR.296	None	0.263866679335678	0.26388138524592
chr3	105369924	105369995	ZOOHAR.297	ZOOHAR.297	positive	0.330460011598234	0.425447633517064
chr10	16612592	16612675	ZOOHAR.298;HAR201	ZOOHAR.298	positive	0.27519599229906	0.478396472212761
chr2	156784627	156784689	ZOOHAR.299	ZOOHAR.299	GBGC(hc)	0.253311039820869	0.550588085729136
chr6	51429061	51429356	ZOOHAR.300;HAR17	ZOOHAR.300	GBGC &
positive	0.593496968092937	0.614751053949247
chr7	105960934	105961088	ZOOHAR.301	ZOOHAR.301	GBGC &
positive	0.266670685500527	0.350655986450609
chr9	3887248	3887303	ZOOHAR.302	ZOOHAR.302	positive	0.40579552185824	0.664420473485609
chr16	52708031	52708347	ZOOHAR.303	ZOOHAR.303	positive	0.410411566536583	0.592653487017956
chr1	87927468	87927654	ZOOHAR.304	ZOOHAR.304	positive	0.250907320802595	0.206874324374869
chr16	62769582	62769744	ZOOHAR.305	ZOOHAR.305	positive	0.25336102041873	0.258815094728578
chr1	68692933	68693037	ZOOHAR.306	ZOOHAR.306	positive	0.263866679335678	0.266646872896532
chr20	50510350	50510419	ZOOHAR.307	ZOOHAR.307	positive	0.336561553829259	0.508996701023418
chr14	33696757	33696813	ZOOHAR.308	ZOOHAR.308	positive	0.263866679335678	0.336728833568364
chr12	79687956	79688126	ZOOHAR.309	ZOOHAR.309	positive	0.280245972890045	0.452752238726332
chr10	66143495	66143616	ZOOHAR.310	ZOOHAR.310	positive	0.263866679335678	0.276337032909876
chr6	84362335	84362644	ZOOHAR.311	ZOOHAR.311	positive	0.228399462438774	0.267315172375975
chr13	62033728	62033778	ZOOHAR.312	ZOOHAR.312	positive	0.394770190037826	0.470594981848662
